start, name, country, link
1922, Arab separatism in Khuzestan, Iran, https://en.wikipedia.org/w/index.php?title=Arab_separatism_in_Khuzestan
1946, Kurdish separatism in Iran, Iran, https://en.wikipedia.org/wiki/Kurdish_separatism_in_Iran
1950, Korean conflict, North Korea, https://en.wikipedia.org/wiki/Korean_conflict
1950, Korean conflict, South Korea, https://en.wikipedia.org/wiki/Korean_conflict
1954, Insurgency in Northeast India, India, https://en.wikipedia.org/wiki/Insurgency_in_Northeast_India
1963, West Papua conflict, Indonesia, https://en.wikipedia.org/wiki/Papua_conflict
1969, Communist rebellion in the Philippines, Philippines, https://en.wikipedia.org/wiki/Communist_rebellion_in_the_Philippines
1970, Western Sahara conflict, Morocco, https://en.wikipedia.org/wiki/Western_Sahara_conflict
1970, Western Sahara conflict, W. Sahara, https://en.wikipedia.org/wiki/Western_Sahara_conflict
1975, Cabinda War, Angola, https://en.wikipedia.org/wiki/Cabinda_War
1980, Internal conflict in Peru, Peru, https://en.wikipedia.org/wiki/Internal_conflict_in_Peru
1980, Maoist insurgency in Turkey, Turkey, https://en.wikipedia.org/wiki/Maoist_insurgency_in_Turkey
1987, Lord's Resistance Army insurgency, Uganda, https://en.wikipedia.org/wiki/Lord%27s_Resistance_Army_insurgency
1987, Lord's Resistance Army insurgency, South Sudan, https://en.wikipedia.org/wiki/Lord%27s_Resistance_Army_insurgency
1987, Lord's Resistance Army insurgency, Dem. Rep. Congo, https://en.wikipedia.org/wiki/Lord%27s_Resistance_Army_insurgency
1987, Lord's Resistance Army insurgency, Uganda, https://en.wikipedia.org/wiki/Lord%27s_Resistance_Army_insurgency
1998, Dissident Irish Republican campaign, United Kingdom, https://en.wikipedia.org/wiki/Dissident_Irish_republican_campaign
1998, Dissident Irish Republican campaign, Ireland, https://en.wikipedia.org/wiki/Dissident_Irish_republican_campaign
2005, Insurgency in Paraguay, Paraguay, https://en.wikipedia.org/wiki/Insurgency_in_Paraguay
2015, ISIL insurgency in Tunisia, Tunisia, https://en.wikipedia.org/wiki/ISIL_insurgency_in_Tunisia
2016, Kamwina Nsapu rebellion, Dem. Rep. Congo, https://en.wikipedia.org/wiki/Kamwina_Nsapu_rebellion
