country, index
Africa, 22.51%
Algeria, 0.82%
Argentina, 0.66%
Australia, 27.82%
Austria, 8.39%
Azerbaijan, 0.01%
Bangladesh, 8.21%
Belarus, 3.73%
Belgium, 4.70%
Brazil, 5.29%
Bulgaria, 27.91%
Canada, 3.93%
Chile, 17.18%
China, 57.64%
Colombia, 13.39%
Croatia, 5.31%
Cyprus, 0.60%
Czechia, 35.43%
Denmark, 5.58%
Ecuador, 0.00%
Egypt, 2.14%
Estonia, 59.05%
Europe, 13.54%
Finland, 13.33%
France, 2.79%
Germany, 17.53%
Greece, 12.10%
Hong Kong, 20.81%
Hungary, 7.92%
Iceland, 2.19%
India, 54.67%
Indonesia, 38.22%
Iran, 0.42%
Iraq, 0.00%
Ireland, 6.05%
Israel, 18.60%
Italy, 4.67%
Japan, 26.27%
Kazakhstan, 53.94%
Kuwait, 0.46%
Latvia, 1.92%
Lithuania, 3.48%
Luxembourg, 1.38%
Malaysia, 21.06%
Mexico, 6.57%
Morocco, 29.40%
Netherlands, 7.59%
New Zealand, 6.77%
North America, 10.64%
North Macedonia, 39.51%
Norway, 1.91%
Oman, 0.46%
Pakistan, 15.46%
Peru, 1.88%
Philippines, 36.04%
Poland, 44.67%
Portugal, 5.53%
Qatar, 0.00%
Romania, 13.97% 
Russia, 12.18%
Saudi Arabia, 0.04%
Singapore, 0.74%
Slovakia, 17.37%
Slovenia, 15.36%
South Africa, 70.61%
South Korea, 27.78%
Spain, 3.67%
Sri Lanka, 17.58%
Sweden, 3.78%
Switzerland, 0.38%
Taiwan, 33.90%
Thailand, 12.72%
Trinidad and Tobago, 0.00%
Turkey, 26.14%
Turkmenistan, 0.00%
Ukraine, 32.40%
United Arab Emirates, 2.13%
United Kingdom, 3.35%
United States, 11.98%
Uzbekistan, 4.08%
Venezuela, 0.14%
Vietnam, 50.25%
World, 27.04%
