country, signature,date-state, state
Afghanistan,22 Apr 2016,15 Fev 2017, Ratifié
Albania,22 Apr 2016,21 Sep 2016, Ratifié
Algeria,22 Apr 2016,20 Oct 2016, Ratifié
Andorra,22 Apr 2016,24 Mar 2017, Ratifié
Angola,22 Apr 2016,16 Nov 2020, Ratifié
Antigua and Barbuda,22 Apr 2016,21 Sep 2016, Ratifié
Argentina,22 Apr 2016,21 Sep 2016, Ratifié
Armenia,20 Sep 2016,23 Mar 2017, Ratifié
Australia,22 Apr 2016,9 Nov 2016, Ratifié
Austria,22 Apr 2016,5 Oct 2016, Ratifié
Azerbaijan,22 Apr 2016,9 Jan 2017, Ratifié
Bahamas,22 Apr 2016,22 Aug 2016, Ratifié
Bahrain,22 Apr 2016,23 Dec 2016, Ratifié
Bangladesh,22 Apr 2016,21 Sep 2016, Ratifié
Barbados,22 Apr 2016,22 Apr 2016, Ratifié
Belarus,22 Apr 2016,21 Sep 2016, Acceptation
Belgium,22 Apr 2016,6 Apr 2017, Ratifié
Belize,22 Apr 2016,22 Apr 2016, Ratifié
Benin,22 Apr 2016,31 Oct 2016, Ratifié
Bhutan,22 Apr 2016,19 Sep 2017, Ratifié
Bolivia,22 Apr 2016,5 Oct 2016, Ratifié
Bosnia and Herzegovina,22 Apr 2016,16 Mar 2017, Ratifié
Botswana,22 Apr 2016,11 Nov 2016, Ratifié
Brazil,22 Apr 2016,21 Sep 2016, Ratifié
Brunei Darussalam,22 Apr 2016,21 Sep 2016, Ratifié
Bulgaria,22 Apr 2016,29 Nov 2016, Ratifié
Burkina Faso,22 Apr 2016,11 Nov 2016, Ratifié
Burundi,22 Apr 2016,17 Jan 2018, Ratifié
Cabo Verde,22 Apr 2016,21 Sep 2017, Ratifié
Cambodia,22 Apr 2016,6 Fev 2017, Ratifié
Cameroon,22 Apr 2016,29 Jul 2016, Ratifié
Canada,22 Apr 2016,5 Oct 2016, Ratifié
Central African Republic,22 Apr 2016,11 Oct 2016
Chad,22 Apr 2016,12 Jan 2017, Ratifié
Chile,20 Sep 2016,10 Fev 2017, Ratifié
China,22 Apr 2016,3 Sep 2016, Ratifié
Colombia,22 Apr 2016,12 Jul 2018, Ratifié
Comoros,22 Apr 2016,23 Nov 2016, Ratifié
Congo,22 Apr 2016,21 Apr 2017, Ratifié
Cook Islands,24 Jun 2016,1 Sep 2016, Ratifié
Costa Rica,22 Apr 2016,13 Oct 2016, Ratifié
Côte d'Ivoire,22 Apr 2016,25 Oct 2016, Ratifié
Croatia,22 Apr 2016,24 May 2017, Ratifié
Cuba,22 Apr 2016,28 Dec 2016, Ratifié
Cyprus,22 Apr 2016,4 Jan 2017, Ratifié
Czech Republic,22 Apr 2016,5 Oct 2017, Ratifié
North Korea,22 Apr 2016,1 Aug 2016, Ratifié
Dem. Rep. of the Congo,22 Apr 2016,13 Dec 2017, Ratifié
Denmark 1,22 Apr 2016,1 Nov 2016, Approbation
Djibouti,22 Apr 2016,11 Nov 2016, Ratifié
Dominica,22 Apr 2016,21 Sep 2016, Ratifié
Dominican Republic,22 Apr 2016,21 Sep 2017, Ratifié
Ecuador,26 Jul 2016,20 Sep 2017, Ratifié
Egypt,22 Apr 2016,29 Jun 2017, Ratifié
El Salvador,22 Apr 2016,27 Mar 2017, Ratifié
Equatorial Guinea,22 Apr 2016,30 Oct 2018, Ratifié
Eritrea,22 Apr 2016, Non ratifié
Estonia,22 Apr 2016,4 Nov 2016, Ratifié
Eswatini,22 Apr 2016,21 Sep 2016, Ratifié
Ethiopia,22 Apr 2016,9 Mar 2017, Ratifié
European Union,22 Apr 2016,5 Oct 2016, Ratifié
Fiji,22 Apr 2016,22 Apr 2016, Ratifié
Finland,22 Apr 2016,14 Nov 2016, Ratifié
France,22 Apr 2016,5 Oct 2016, Ratifié
Gabon,22 Apr 2016,2 Nov 2016, Ratifié
Gambia,26 Apr 2016,7 Nov 2016, Ratifié
Georgia,22 Apr 2016,8 May 2017, Approbation
Germany,22 Apr 2016,5 Oct 2016, Ratifié
Ghana,22 Apr 2016,21 Sep 2016, Ratifié
Greece,22 Apr 2016,14 Oct 2016, Ratifié
Grenada,22 Apr 2016,22 Apr 2016, Ratifié
Guatemala,22 Apr 2016,25 Jan 2017, Ratifié
Guinea,22 Apr 2016,21 Sep 2016, Ratifié
Guinea-Bissau,22 Apr 2016,22 Oct 2018, Ratifié
Guyana,22 Apr 2016,20 May 2016, Ratifié
Haiti,22 Apr 2016,31 Jul 2017, Ratifié
Honduras,22 Apr 2016,21 Sep 2016, Ratifié
Hungary,22 Apr 2016,5 Oct 2016, Ratifié
Iceland,22 Apr 2016,21 Sep 2016, Acceptation
India,22 Apr 2016,2 Oct 2016, Ratifié
Indonesia,22 Apr 2016,31 Oct 2016, Ratifié
Iran,22 Apr 2016, Non ratifié
Iraq,8 Dec 2016, Non ratifié
Ireland,22 Apr 2016,4 Nov 2016, Ratifié
Israel,22 Apr 2016,22 Nov 2016, Ratifié
Italy,22 Apr 2016,11 Nov 2016, Ratifié
Jamaica,22 Apr 2016,10 Apr 2017, Ratifié
Japan,22 Apr 2016,8 Nov 2016, Acceptation
Jordan,22 Apr 2016,4 Nov 2016, Ratifié
Kazakhstan,2 Aug 2016,6 Dec 2016, Ratifié
Kenya,22 Apr 2016,28 Dec 2016, Ratifié
Kiribati,22 Apr 2016,21 Sep 2016, Ratifié
Kuwait,22 Apr 2016,23 Apr 2018, Ratifié
Kyrgyzstan,21 Sep 2016,18 Fev 2020, Ratifié
Laos,22 Apr 2016,7 Sep 2016, Ratifié
Latvia,22 Apr 2016,16 Mar 2017, Ratifié
Lebanon,22 Apr 2016,5 Fev 2020, Ratifié
Lesotho,22 Apr 2016,20 Jan 2017, Ratifié
Liberia,22 Apr 2016,27 Aug 2018, Ratifié
Libya,22 Apr 2016, Non ratifié
Liechtenstein,22 Apr 2016,20 Sep 2017, Ratifié
Lithuania,22 Apr 2016,2 Fev 2017, Ratifié
Luxembourg,22 Apr 2016,4 Nov 2016, Ratifié
Madagascar,22 Apr 2016,21 Sep 2016, Ratifié
Malawi,20 Sep 2016,29 Jun 2017, Ratifié
Malaysia,22 Apr 2016,16 Nov 2016, Ratifié
Maldives,22 Apr 2016,22 Apr 2016, Ratifié
Mali,22 Apr 2016,23 Sep 2016, Ratifié
Malta,22 Apr 2016,5 Oct 2016, Ratifié
Marshall Islands,22 Apr 2016,22 Apr 2016, Ratifié
Mauritania,22 Apr 2016,27 Fev 2017, Ratifié
Mauritius,22 Apr 2016,22 Apr 2016, Ratifié
Mexico,22 Apr 2016,21 Sep 2016, Ratifié
Micronesia,22 Apr 2016,15 Sep 2016, Ratifié
Monaco,22 Apr 2016,24 Oct 2016, Ratifié
Mongolia,22 Apr 2016,21 Sep 2016, Ratifié
Montenegro,22 Apr 2016,20 Dec 2017, Ratifié
Morocco,22 Apr 2016,21 Sep 2016, Ratifié
Mozambique,22 Apr 2016,4 Jun 2018, Ratifié
Myanmar,22 Apr 2016,19 Sep 2017, Ratifié
Namibia,22 Apr 2016,21 Sep 2016, Ratifié
Nauru,22 Apr 2016,22 Apr 2016, Ratifié
Nepal,22 Apr 2016,5 Oct 2016, Ratifié
Netherlands 2,22 Apr 2016,28 Jul 2017, Acceptation
New Zealand 3,22 Apr 2016,4 Oct 2016, Ratifié
Nicaragua,,23 Oct 2017, Adhésion
Niger,22 Apr 2016,21 Sep 2016, Ratifié
Nigeria,22 Sep 2016,16 May 2017, Ratifié
Niue,28 Oct 2016,28 Oct 2016, Ratifié
North Macedonia,22 Apr 2016,9 Jan 2018, Ratifié
Norway,22 Apr 2016,20 Jun 2016, Ratifié
Oman,22 Apr 2016,22 May 2019, Ratifié
Pakistan,22 Apr 2016,10 Nov 2016, Ratifié
Palau,22 Apr 2016,22 Apr 2016, Ratifié
Panama,22 Apr 2016,21 Sep 2016, Ratifié
Papua New Guinea,22 Apr 2016,21 Sep 2016, Ratifié
Paraguay,22 Apr 2016,14 Oct 2016, Ratifié
Peru,22 Apr 2016,25 Jul 2016, Ratifié
Philippines,22 Apr 2016,23 Mar 2017, Ratifié
Poland,22 Apr 2016,7 Oct 2016, Ratifié
Portugal,22 Apr 2016,5 Oct 2016, Ratifié
Qatar,22 Apr 2016,23 Jun 2017, Ratifié
South Korea,22 Apr 2016,3 Nov 2016, Ratifié
Moldova,21 Sep 2016,20 Jun 2017,, Ratifié
Romania,22 Apr 2016,1 Jun 2017, Ratifié
Russia,22 Apr 2016,7 Oct 2019, Acceptation
Rwanda,22 Apr 2016,6 Oct 2016, Ratifié
Samoa,22 Apr 2016,22 Apr 2016, Ratifié
San Marino,22 Apr 2016,26 Sep 2018, Ratifié
Sao Tome and Principe,22 Apr 2016,2 Nov 2016, Ratifié
Saudi Arabia,3 Nov 2016,3 Nov 2016, Ratifié
Senegal,22 Apr 2016,21 Sep 2016, Ratifié
Serbia,22 Apr 2016,25 Jul 2017, Ratifié
Seychelles,25 Apr 2016,29 Apr 2016, Ratifié
Sierra Leone,22 Sep 2016,1 Nov 2016, Ratifié
Singapore,22 Apr 2016,21 Sep 2016, Ratifié
Slovakia,22 Apr 2016,5 Oct 2016, Ratifié
