country, index
Africa, 27.20%
Algeria, 64.16%
Argentina, 49.37%
Australia, 0.18%
Austria, 21.36%
Azerbaijan, 64.72%
Bangladesh, 70.35%
Belarus, 65.57%
Belgium, 23.07%
Brazil, 10.39%
Bulgaria, 13.64%
Canada, 30.47%
Chile, 14.09%
China, 7.81%
Colombia, 25.16%
Croatia, 31.18%
Cyprus, 0.00%
Czechia, 17.58%
Denmark, 15.08%
Ecuador, 3.06%
Egypt, 54.61%
Estonia, 6.49%
Europe, 23.80%
Finland, 6.63%
France, 16.16%
Germany, 24.29%
Greece, 16.18%
Hong Kong, 9.04%
Hungary, 35.56%
Iceland, 0.00%
India, 6.31%
Indonesia, 17.70%
Iran, 65.22%
Iraq, 32.21%
Ireland, 28.85%
Israel, 34.44%
Italy, 39.98%
Japan, 20.84%
Kazakhstan, 20.79%
Kuwait, 51.70%
Latvia, 29.73%
Lithuania, 31.72%
Luxembourg, 16.85%
Malaysia, 35.72%
Mexico, 42.28%
Morocco, 3.70%
Netherlands, 37.77%
New Zealand, 18.85%
North America, 32.66%
North Macedonia, 9.10%
Norway, 9.16%
Oman, 59.47%
Pakistan, 46.17%
Peru, 25.73%
Philippines, 7.26%
Poland, 17.15%
Portugal, 21.16%
Qatar, 73.09%
Romania, 28.58%
Russia, 53.67%
Saudi Arabia, 37.07%
Singapore, 12.92%
Slovakia, 26.57%
Slovenia, 11.01%
South Africa, 2.85%
South Korea, 16.29%
Spain, 22.72%
Sri Lanka, 0.00%
Sweden, 1.69%
Switzerland, 10.83%
Taiwan, 17.41%
Thailand, 32.59%
Trinidad and Tobago, 88.48%
Turkey, 23.97%
Turkmenistan, 78.43%
Ukraine, 29.82%
United Arab Emirates, 56.64%
United Kingdom, 36.20%
United States, 32.20%
Uzbekistan, 87.62%
Venezuela, 42.77%
Vietnam, 8.61%
World, 24.23%
