country, index
China,20.09
United States,17.89
Russia,7.53
India,4.10
Japan,3.79
Germany,2.56
Brazil,2.48
Canada,1.95
South Korea,1.85
Mexico,1.70
United Kingdom,1.55
Indonesia,1.49
South Africa,1.46
Australia,1.46
France,1.34
Iran,1.30
Turkey,1.24
Italia,1.18
Poland,1.06
Ukraine,1.04
Sierra Leone,0.98
Argentina,0.89
Spain,0.87
Kazakhstan,0.84
Saudi Arabia,0.80
Côte d'Ivoire,0.73
Vietnam,0.72
Ecuador,0.67
Thailand,0.64
Nigeria,0.57
Ouzbekistan,0.54
United Arab Emirates,0.53
Netherlands,0.53
Egypt,0.52
Malaisia,0.52
Venezuela,0.52
Cameroun,0.45
Pakistan,0.43
Colombia,0.41
Philippines,0.34
Czech Republic,0.34
Belgium,0.32
Algeria,0.30
Roumania,0.30
Greece,0.28
Bangladesh,0.27
Chile,0.25
Bielorussia,0.24
North Korea,0.23
New Zealand,0.22
Peru,0.22
Austria,0.21
Syria,0.21
Iraq,0.20
Israël,0.20
Turkmenistan,0.20
Portugal,0.18
Serbia,0.18
Sudan,0.18
Zimbabwe,0.18
Angola,0.17
Finland,0.17
Qatar,0.17
Ireland,0.16
Morocco,0.16
Bulgaria,0.15
Danemark,0.15
Hungary,0.15
Sweden,0.15
Norway,0.14
Switzerland,0.14
Azerbaijan,0.13
Ethiopia,0.13
Singapour,0.13
Bolivia,0.12
Slovakia,0.12
Tanzania,0.11
Tunisia,0.11
Birmania,0.10
Cuba,0.10
Ghana,0.09
Kuwait,0.09
Bosnia-Herzegovina,0.08
Madagascar,0.08
Burundi,0.07
Croatia,0.07
Dominican Republic,0.07
Jordania,0.07
Lebanon,0.07
Malawi,0.07
Nepal,0.07
Ouganda,0.07
Yemen,0.07
Bahrein,0.06
Burkina Faso,0.06
Dem. Rep. Congo,0.06
Estonia,0.06
Kenya,0.06
Oman,0.06
Paraguay,0.06
Tchad,0.06
Afghanistan,0.05
Gambia,0.05
Lituania,0.05
Mongolia,0.05
Senegal,0.05
Slovenia,0.05
Sri Lanka,0.05
Eswatini,0.05
Uruguay,0.05
Guatemala,0.04
Jamaica,0.04
Moldavia,0.04
Niger,0.04
Trinite-et-Tobago,0.04
Zambia,0.04
Cambodia,0.03
Costa Rica,0.03
Georgia,0.03
Honduras,0.03
Kirghizistan,0.03
Lettonia,0.03
Luxembourg,0.03
Macedonia,0.03
Mali,0.03
Panama,0.03
Salvador,0.03
Nicaragua,0.03
Albania,0.02
Armenia,0.02
Benin,0.02
Botswana,0.02
Cyprus,0.02
Gabon,0.02
Guinea-Bissau,0.02
Haïti,0.02
Laos,0.02
Liberia,0.02
Mauritania,0.02
Mozambique,0.02
Rwanda,0.02
Tadjikistan,0.02
Togo,0.02
Barbados,0.01
Central African Rep.,0.01
Congo,0.01
Eritrea,0.01
Fidji,0.01
Guinea,0.01
Guyana,0.01
Iceland,0.01
Lesotho,0.01
Malta,0.01
Maurice,0.01
Montenegro,0.01
Namibia,0.01
Niue,0.01
Papouasie-Nouvelle-Guinee,0.01
Suriname,0.01
Andorra,0.00
Antigua-et-Barbuda,0.00
Bahamas,0.00
Belize,0.00
Bhoutan,0.00
Cap-Vert,0.00
Comoros,0.00
Cook Islands,0.00
Djibouti,0.00
Dominica,0.00
Grenada,0.00
Kiribati,0.00
Liechtenstein,0.00
Maldives,0.00
Marshall Islands,0.00
Etats federes de Micronesie,0.00
Monaco,0.00
Nauru,0.00
Palaos,0.00
Saint-Christophe-et-Nievès,0.00
Sainte-Lucie,0.00
Saint-Vincent-et-les-Grenadines,0.00
Saint-Marin,0.00
Salomon,0.00
Samoa,0.00
Sao Tome-et-Principe,0.00
Seychelles,0.00
Timor-Leste,0.00
Tonga,0.00
Tuvalu,0.00
Vanuatu,0.00
