country, index
Africa, 5.96%
Algeria, 0.05%
Argentina, 9.54%
Australia, 1.99%
Austria, 24.21%
Azerbaijan, 2.13%
Bangladesh, 0.42%	
Belarus, 0.27%
Belgium, 0.10%
Brazil, 28.70%
Bulgaria, 4.08%
Canada, 23.96%
Chile, 11.23%
China, 7.99%
Colombia, 23.88%
Croatia, 15.31%
Cyprus, 0.00%	
Czechia, 1.05%
Denmark, 0.02%
Ecuador, 29.54%
Egypt, 3.07%
Estonia, 0.06%	
Europe, 6.73%
Finland, 9.98%
France, 5.39%
Germany, 1.37%
Greece, 3.12%
Hong Kong, 0.00%	
Hungary, 0.20%
Iceland, 54.63%
India, 4.24%
Indonesia, 1.70%
Iran, 2.09%
Iraq, 0.99%
Ireland, 1.19%
Israel, 0.02%	
Italy, 6.31%
Japan, 3.53%
Kazakhstan, 2.87%
Kuwait, 0.00%	
Latvia, 11.83%
Lithuania, 1.26%
Luxembourg, 0.56%
Malaysia, 5.66%
Mexico, 2.75%
Morocco, 1.19%
Netherlands, 0.02%	
New Zealand, 24.89%
North America, 5.18%
North Macedonia, 9.27%
Norway, 63.20%
Oman, 0.00%	
Pakistan, 8.91%
Peru, 24.24%
Philippines, 4.25%
Poland, 0.41%
Portugal, 7.47%
Qatar, 0.00%	
Romania, 10.04%
Russia, 5.81%
Saudi Arabia, 0.00%	
Singapore, 0.00%	
Slovakia, 5.76%
Slovenia, 13.98%
South Africa, 0.13%
South Korea, 0.20%
Spain, 3.93%
Sri Lanka, 12.00%
Sweden, 26.14%
Switzerland, 27.37%
Taiwan, 1.03%
Thailand, 1.00%
Trinidad and Tobago, 0.00%	
Turkey, 12.25%
Turkmenistan, 0.01%
Ukraine, 1.79%
United Arab Emirates, 0.00%	
United Kingdom, 0.68%
United States, 2.55%
Uzbekistan, 3.25%
Venezuela, 25.33%
Vietnam, 14.19%
World, 6.45%
