country, index
Africa, 0.64%	
Algeria, 0.00%	
Argentina, 2.17%	
Australia, 0.00%	
Austria, 0.00%	
Azerbaijan, 0.00%	
Bangladesh, 0.00%	
Belarus, 0.00%	
Belgium, 14.38%	
Brazil, 1.16%	
Bulgaria, 19.77%	
Canada, 6.30%
Chile, 0.00%	
China, 2.19%	
Colombia, 0.00%	
Croatia, 0.00%	
Cyprus, 0.00%	
Czechia, 15.81%	
Denmark, 0.00%	
Ecuador, 0.00%	
Egypt, 0.00%	
Estonia, 0.00%	
Europe, 9.88%
Finland, 18.62%	
France, 36.79%
Germany, 5.09%
Greece, 0.00%	
Hong Kong, 0.00%	
Hungary, 14.62%	
Iceland, 0.00%	
India, 1.18%	
Indonesia, 0.00%	
Iran, 0.46%	
Iraq, 0.00%	
Ireland, 0.00%	
Israel, 0.00%	
Italy, 0.00%
Japan,	3.13%
Kazakhstan, 0.00%	
Kuwait, 0.00%	
Latvia, 0.00%	
Lithuania, 0.00%
Luxembourg, 0.00%	
Malaysia, 0.00%	
Mexico, 1.30%	
Morocco, 0.00%	
Netherlands, 0.99%	
New Zealand, 0.00%	
North America, 7.37%
North Macedonia, 0.00%	
Norway, 0.00%	
Oman, 0.00%	
Pakistan, 2.38%	
Peru, 0.00%	
Philippines, 0.00%	
Poland, 0.00%	
Portugal, 0.00%	
Qatar, 0.00%	
Romania, 7.33%	
Russia, 6.25%
Saudi Arabia, 0.00%	
Singapore, 0.00%	
Slovakia, 21.00%	
Slovenia, 18.52%
South Africa, 2.35%	
South Korea, 10.52%	
Spain, 9.11%	
Sri Lanka, 0.00%	
Sweden, 26.65%
Switzerland, 18.16%	
Taiwan, 5.99%	
Thailand, 0.00%	
Trinidad and Tobago, 0.00%	
Turkey, 0.00%	
Turkmenistan, 0.00%	
Ukraine, 21.73%
United Arab Emirates, 0.00%	
United Kingdom, 6.39%
United States, 8.03%
Uzbekistan, 0.00%	
Venezuela, 0.00%	
Vietnam, 0.00%	
World, 4.27%
