country, index
Africa, 41.66%
Algeria, 34.74%
Argentina, 34.24%
Australia, 33.43%
Austria, 36.54%	
Azerbaijan, 32.79%
Bangladesh, 20.81%
Belarus, 30.06%
Belgium, 50.91%	+12%
Brazil, 38.14%
Bulgaria, 28.51%
Canada, 31.66%
Chile, 45.87%
China, 19.69%	+134%
Colombia, 36.47%
Croatia, 41.63%
Cyprus, 95.07%
Czechia, 25.16%	+150%
Denmark, 47.77%
Ecuador, 66.42%
Egypt, 38.70%
Estonia, 26.86%
Europe, 36.27%
Finland, 35.27%
France, 32.54%
Germany, 35.60%	
Greece, 58.99%
Hong Kong, 70.05%
Hungary, 37.14%	+55%
Iceland, 18.40%
India, 30.06%	+26%
Indonesia, 37.98%
Iran, 31.77%
Iraq, 66.77%
Ireland, 48.53%	+15%
Israel, 44.64%
Italy, 39.05%
Japan, 40.34%
Kazakhstan, 22.17%
Kuwait, 47.75%
Latvia, 49.20%
Lithuania, 56.38%
Luxembourg, 74.72%
Malaysia, 36.83%
Mexico, 42.63%
Morocco, 59.81%
Netherlands, 47.10%
New Zealand, 38.96%
North America, 38.41%
North Macedonia, 40.68%
Norway, 21.87%
Oman, 40.07%
Pakistan, 25.34%
Peru, 43.61%
Philippines, 45.03%
Poland, 31.44%
Portugal, 48.86%
Qatar, 26.85%
Romania, 33.07%
Russia, 22.04%
Saudi Arabia, 62.74%
Singapore, 86.10%
Slovakia, 25.86%
Slovenia, 37.94%
South Africa, 21.91%
South Korea, 42.88%	
Spain, 47.53%
Sri Lanka, 68.37%
Sweden, 25.65%
Switzerland, 39.31%
Taiwan, 40.20%
Thailand, 48.50%
Trinidad and Tobago, 11.51%
Turkey, 31.31%
Turkmenistan, 21.56%
Ukraine, 12.90%
United Arab Emirates, 40.46%
United Kingdom, 39.61%	
United States, 39.08%
Uzbekistan, 5.05%
Venezuela, 31.70%
Vietnam, 25.92%
World, 33.06%
