country, index
Africa, 0.87%	
Algeria, 0.22%	
Argentina, 0.21%	
Australia, 2.50%	
Austria, 0.80%	
Azerbaijan, 0.06%	
Bangladesh, 0.21%	
Belarus, 0.10%	
Belgium, 1.30%	
Brazil, 0.40%	
Bulgaria, 2.18%	
Canada, 0.27%	
Chile, 3.39%	
China, 1.41%	
Colombia, 0.06%	
Croatia, 0.21%	
Cyprus, 1.65%	
Czechia, 1.19%	
Denmark, 1.23%	
Ecuador, 0.20%	
Egypt, 0.84%	
Estonia, 0.27%	
Europe, 1.65%	
Finland, 0.14%	
France, 1.08%	
Germany, 3.22%	
Greece, 3.08%	
Hong Kong, 0.01%	
Hungary, 1.24%	
Iceland, 0.00%	
India, 1.21%	
Indonesia, 0.01%	
Iran, 0.01%	
Iraq, 0.02%	
Ireland, 0.03%	
Israel, 2.15%	
Italy, 3.40%	
Japan, 3.59%	
Kazakhstan, 0.08%	
Kuwait, 0.08%	
Latvia, 0.00%	
Lithuania, 0.33%	
Luxembourg, 0.63%	
Malaysia, 0.17%	
Mexico, 1.44%	
Morocco, 1.49%	
Netherlands, 1.32%	
New Zealand, 0.12%	
North America, 0.96%	
North Macedonia, 0.18%	
Norway, 0.06%	
Oman, 0.01%	
Pakistan, 0.29%	
Peru, 0.58%	
Philippines, 0.59%	
Poland, 0.15%	
Portugal, 1.09%	
Qatar, 0.01%	
Romania, 1.13%	
Russia, 0.03%	
Saudi Arabia, 0.14%	
Singapore, 0.05%	
Slovakia, 0.80%	
Slovenia, 0.85%	
South Africa, 0.87%	
South Korea, 0.87%	
Spain, 2.34%	
Sri Lanka, 0.92%	
Sweden, 0.23%	
Switzerland, 1.78%	
Taiwan, 0.77%	
Thailand, 0.80%	
Trinidad and Tobago, 0.01%	
Turkey, 1.50%	
Turkmenistan, 0.01%	
Ukraine, 0.76%	
United Arab Emirates, 0.77%	
United Kingdom, 1.44%	
United States, 1.02%	
Uzbekistan, 0.01%	
Venezuela, 0.01%	
Vietnam, 0.91%	
World, 1.10%	
