start, name, country, link
1978, Afghanistan conflict, Afghanistan, https://en.wikipedia.org/wiki/Afghanistan_conflict_(1978%E2%80%93present)
2011, Yemeni Crisis, Yemen, https://en.wikipedia.org/wiki/Yemeni_Crisis_(2011%E2%80%93present)
2011, Yemeni Crisis, Saudi Arabia, https://en.wikipedia.org/wiki/Yemeni_Crisis_(2011%E2%80%93present)
2011, Syrian Civil War, Syria, https://en.wikipedia.org/wiki/Syrian_civil_war
2006, Mexican Drug War, Mexico, https://en.wikipedia.org/wiki/Mexican_drug_war
1984, Kurdish–Turkish conflict, Turkey, https://en.wikipedia.org/wiki/Kurdish%E2%80%93Turkish_conflict_(1978%E2%80%93present)
1984, Kurdish–Turkish conflict, Iraq, https://en.wikipedia.org/wiki/Kurdish%E2%80%93Turkish_conflict_(1978%E2%80%93present)
1988, Nagorno-Karabakh conflict, Azerbaijan, https://en.wikipedia.org/wiki/Nagorno-Karabakh_conflict
1991, Somali Civil War, Somalia, https://en.wikipedia.org/wiki/Somali_Civil_War
1991, Somali Civil War, Kenya, https://en.wikipedia.org/wiki/Somali_Civil_War
1999, Ituri conflict, Dem. Rep. Congo, https://en.wikipedia.org/wiki/Ituri_conflict
2002, Insurgency in the Maghreb, Algeria, https://en.wikipedia.org/wiki/Insurgency_in_the_Maghreb_(2002%E2%80%93present)
2002, Insurgency in the Maghreb, Burkina Faso, https://en.wikipedia.org/wiki/Insurgency_in_the_Maghreb_(2002%E2%80%93present)
2002, Insurgency in the Maghreb, Chad, https://en.wikipedia.org/wiki/Insurgency_in_the_Maghreb_(2002%E2%80%93present)
2002, Insurgency in the Maghreb, Libya, https://en.wikipedia.org/wiki/Insurgency_in_the_Maghreb_(2002%E2%80%93present)
2002, Insurgency in the Maghreb, Mali, https://en.wikipedia.org/wiki/Insurgency_in_the_Maghreb_(2002%E2%80%93present)
2002, Insurgency in the Maghreb, Mauritania, https://en.wikipedia.org/wiki/Insurgency_in_the_Maghreb_(2002%E2%80%93present)
2002, Insurgency in the Maghreb, Morocco, https://en.wikipedia.org/wiki/Insurgency_in_the_Maghreb_(2002%E2%80%93present)
2002, Insurgency in the Maghreb, Niger, https://en.wikipedia.org/wiki/Insurgency_in_the_Maghreb_(2002%E2%80%93present)
2002, Insurgency in the Maghreb, Tunisia, https://en.wikipedia.org/wiki/Insurgency_in_the_Maghreb_(2002%E2%80%93present)
2003, Iraq conflict, Iraq, https://en.wikipedia.org/wiki/Iraqi_conflict_(2003%E2%80%93present)
2004, Kivu conflict, Dem. Rep. Congo, https://en.wikipedia.org/wiki/Kivu_conflict
2009, Boko Haram insurgency, Nigeria, https://en.wikipedia.org/wiki/Boko_Haram_insurgency
2009, Boko Haram insurgency, Cameroon, https://en.wikipedia.org/wiki/Boko_Haram_insurgency
2009, Boko Haram insurgency, Niger, https://en.wikipedia.org/wiki/Boko_Haram_insurgency
2009, Boko Haram insurgency, South Chad, https://en.wikipedia.org/wiki/Boko_Haram_insurgency
2011, Ethnic violence in South Sudan, South Sudan, https://en.wikipedia.org/wiki/Ethnic_violence_in_South_Sudan
2012, Mali War, Mali, https://en.wikipedia.org/wiki/Mali_War
2013, Insurgency in Egypt, Egypt, https://en.wikipedia.org/wiki/Timeline_of_terrorism_in_Egypt_(2013%E2%80%93present)
2011, Libyan conflict, Libya, https://en.wikipedia.org/wiki/Libyan_Crisis_(2011%E2%80%93present)
2017, Insurgency in Cabo Delgado, Mozambique, https://en.wikipedia.org/wiki/Insurgency_in_Cabo_Delgado
